design,procedure,participant,period,position,posture,support,precision,recall,f1
grouped_repetitions,all10_tuned,P01,held_only,5,Right shoulder touch and twist,1003,0.48118279569892475,0.5353938185443669,0.5068428504011326
grouped_repetitions,all10_tuned,P01,held_only,6,Both arms raise,1003,0.4605377276669558,0.5294117647058824,0.49257884972170685
grouped_repetitions,all10_tuned,P01,held_only,7,Forward bend,999,0.5950704225352113,0.6766766766766766,0.633255269320843
grouped_repetitions,all10_tuned,P01,held_only,8,Sitting,1000,0.5084087968952135,0.393,0.4433164128595601
grouped_repetitions,all10_tuned,P02,all_rows,1,Standing straight,8503,0.4713579528932829,0.3812771962836646,0.4215590663805994
grouped_repetitions,all10_tuned,P02,all_rows,2,Left arm raise,1200,0.6076523994811932,0.7808333333333334,0.6834427425237053
grouped_repetitions,all10_tuned,P02,all_rows,3,Right arm raise,1201,0.42298578199052134,0.5945045795170691,0.4942886812045691
grouped_repetitions,all10_tuned,P02,all_rows,4,Left shoulder touch and twist,1194,0.32084155161078237,0.40871021775544386,0.35948434622467773
grouped_repetitions,all10_tuned,P02,all_rows,5,Right shoulder touch and twist,1200,0.3949579831932773,0.47,0.4292237442922375
grouped_repetitions,all10_tuned,P02,all_rows,6,Both arms raise,1201,0.5897435897435898,0.7085761865112407,0.6437216338880485
grouped_repetitions,all10_tuned,P02,all_rows,7,Forward bend,1200,0.4466338259441708,0.4533333333333333,0.44995864350703063
grouped_repetitions,all10_tuned,P02,all_rows,8,Sitting,1201,0.39086294416243655,0.38467943380516234,0.38774653797733943
grouped_repetitions,all10_tuned,P02,held_only,1,Standing straight,7015,0.49360944830933506,0.43492516037063433,0.46241285237950897
grouped_repetitions,all10_tuned,P02,held_only,2,Left arm raise,996,0.6695652173913044,0.8504016064257028,0.7492260061919506
grouped_repetitions,all10_tuned,P02,held_only,3,Right arm raise,1000,0.4756195043964828,0.595,0.5286539315859617
grouped_repetitions,all10_tuned,P02,held_only,4,Left shoulder touch and twist,997,0.30711297071129706,0.36810431293881646,0.3348540145985401
grouped_repetitions,all10_tuned,P02,held_only,5,Right shoulder touch and twist,1000,0.40106951871657753,0.45,0.4241281809613572
grouped_repetitions,all10_tuned,P02,held_only,6,Both arms raise,999,0.628909551986475,0.7447447447447447,0.6819431714023831
grouped_repetitions,all10_tuned,P02,held_only,7,Forward bend,1000,0.47052280311457173,0.423,0.44549763033175355
grouped_repetitions,all10_tuned,P02,held_only,8,Sitting,1003,0.38293216630196936,0.3489531405782652,0.3651538862806468
grouped_repetitions,all10_tuned,P03,all_rows,1,Standing straight,8507,0.48400889344963227,0.33266721523451276,0.3943151734708096
grouped_repetitions,all10_tuned,P03,all_rows,2,Left arm raise,1201,0.5345345345345346,0.5928393005828476,0.5621792341097513
grouped_repetitions,all10_tuned,P03,all_rows,3,Right arm raise,1198,0.3906810035842294,0.5459098497495827,0.4554317548746518
grouped_repetitions,all10_tuned,P03,all_rows,4,Left shoulder touch and twist,1197,0.42544529262086517,0.6984126984126984,0.5287792536369386
grouped_repetitions,all10_tuned,P03,all_rows,5,Right shoulder touch and twist,1201,0.3658357771260997,0.4154870940882598,0.38908382066276803
grouped_repetitions,all10_tuned,P03,all_rows,6,Both arms raise,1200,0.44885306881587106,0.6033333333333334,0.5147529328119446
grouped_repetitions,all10_tuned,P03,all_rows,7,Forward bend,1198,0.48394004282655245,0.5659432387312187,0.5217391304347826
grouped_repetitions,all10_tuned,P03,all_rows,8,Sitting,1199,0.432258064516129,0.6146788990825688,0.5075757575757576
grouped_repetitions,all10_tuned,P03,held_only,1,Standing straight,7006,0.5172758138605952,0.3696831287467885,0.43119953383834186
grouped_repetitions,all10_tuned,P03,held_only,2,Left arm raise,998,0.5893186003683242,0.6412825651302605,0.6142034548944338
grouped_repetitions,all10_tuned,P03,held_only,3,Right arm raise,997,0.42406015037593986,0.5656970912738215,0.4847443059733563
grouped_repetitions,all10_tuned,P03,held_only,4,Left shoulder touch and twist,999,0.4409400123685838,0.7137137137137137,0.5451070336391437
grouped_repetitions,all10_tuned,P03,held_only,5,Right shoulder touch and twist,1002,0.4368231046931408,0.48303393213572854,0.45876777251184836
grouped_repetitions,all10_tuned,P03,held_only,6,Both arms raise,1004,0.47415730337078654,0.6304780876494024,0.5412569474134246
grouped_repetitions,all10_tuned,P03,held_only,7,Forward bend,1002,0.5330915684496826,0.5868263473053892,0.5586698337292161
grouped_repetitions,all10_tuned,P03,held_only,8,Sitting,1002,0.43047752808988765,0.6117764471057884,0.5053586150041219
